filename,area,point_id,label_beauty,label_safety,label_comfort,label_uvi,notes
KAYUTANGAN_ST-01.jpg,KAYUTANGAN,ST-01,,,,,
KAYUTANGAN_ST-02.jpg,KAYUTANGAN,ST-02,,,,,
KAYUTANGAN_ST-03.jpg,KAYUTANGAN,ST-03,,,,,
KAYUTANGAN_SB-01.jpg,KAYUTANGAN,SB-01,,,,,
KAYUTANGAN_SB-02.jpg,KAYUTANGAN,SB-02,,,,,
KAYUTANGAN_SB-03.jpg,KAYUTANGAN,SB-03,,,,,
KAYUTANGAN_ST-04.jpg,KAYUTANGAN,ST-04,,,,,
KAYUTANGAN_ST-05.jpg,KAYUTANGAN,ST-05,,,,,
KAYUTANGAN_ST-06.jpg,KAYUTANGAN,ST-06,,,,,
KAYUTANGAN_SB-04.jpg,KAYUTANGAN,SB-04,,,,,
KAYUTANGAN_SB-05.jpg,KAYUTANGAN,SB-05,,,,,
KAYUTANGAN_SB-06.jpg,KAYUTANGAN,SB-06,,,,,
KAYUTANGAN_ST-07.jpg,KAYUTANGAN,ST-07,,,,,
KAYUTANGAN_ST-08.jpg,KAYUTANGAN,ST-08,,,,,
KAYUTANGAN_ST-09.jpg,KAYUTANGAN,ST-09,,,,,
KAYUTANGAN_SB-07.jpg,KAYUTANGAN,SB-07,,,,,
KAYUTANGAN_SB-08.jpg,KAYUTANGAN,SB-08,,,,,
KAYUTANGAN_SB-09.jpg,KAYUTANGAN,SB-09,,,,,
KAYUTANGAN_ST-10.jpg,KAYUTANGAN,ST-10,,,,,
KAYUTANGAN_ST-11.jpg,KAYUTANGAN,ST-11,,,,,
KAYUTANGAN_ST-12.jpg,KAYUTANGAN,ST-12,,,,,
KAYUTANGAN_SB-10.jpg,KAYUTANGAN,SB-10,,,,,
KAYUTANGAN_SB-11.jpg,KAYUTANGAN,SB-11,,,,,
KAYUTANGAN_SB-12.jpg,KAYUTANGAN,SB-12,,,,,
KAYUTANGAN_ST-13.jpg,KAYUTANGAN,ST-13,,,,,
KAYUTANGAN_ST-14.jpg,KAYUTANGAN,ST-14,,,,,
KAYUTANGAN_ST-15.jpg,KAYUTANGAN,ST-15,,,,,
KAYUTANGAN_SB-13.jpg,KAYUTANGAN,SB-13,,,,,
KAYUTANGAN_SB-14.jpg,KAYUTANGAN,SB-14,,,,,
KAYUTANGAN_SB-15.jpg,KAYUTANGAN,SB-15,,,,,
KAYUTANGAN_ST-16.jpg,KAYUTANGAN,ST-16,,,,,
KAYUTANGAN_ST-17.jpg,KAYUTANGAN,ST-17,,,,,
KAYUTANGAN_ST-18.jpg,KAYUTANGAN,ST-18,,,,,
KAYUTANGAN_SB-16.jpg,KAYUTANGAN,SB-16,,,,,
KAYUTANGAN_SB-17.jpg,KAYUTANGAN,SB-17,,,,,
KAYUTANGAN_SB-18.jpg,KAYUTANGAN,SB-18,,,,,
KAYUTANGAN_ST-19.jpg,KAYUTANGAN,ST-19,,,,,
KAYUTANGAN_ST-20.jpg,KAYUTANGAN,ST-20,,,,,
KAYUTANGAN_ST-21.jpg,KAYUTANGAN,ST-21,,,,,
KAYUTANGAN_SB-19.jpg,KAYUTANGAN,SB-19,,,,,
KAYUTANGAN_SB-20.jpg,KAYUTANGAN,SB-20,,,,,
KAYUTANGAN_SB-21.jpg,KAYUTANGAN,SB-21,,,,,
KAYUTANGAN_ST-22.jpg,KAYUTANGAN,ST-22,,,,,
KAYUTANGAN_ST-23.jpg,KAYUTANGAN,ST-23,,,,,
KAYUTANGAN_ST-24.jpg,KAYUTANGAN,ST-24,,,,,
KAYUTANGAN_SB-22.jpg,KAYUTANGAN,SB-22,,,,,
KAYUTANGAN_SB-23.jpg,KAYUTANGAN,SB-23,,,,,
KAYUTANGAN_SB-24.jpg,KAYUTANGAN,SB-24,,,,,
KAYUTANGAN_ST-25.jpg,KAYUTANGAN,ST-25,,,,,
KAYUTANGAN_ST-26.jpg,KAYUTANGAN,ST-26,,,,,
KAYUTANGAN_ST-27.jpg,KAYUTANGAN,ST-27,,,,,
KAYUTANGAN_SB-25.jpg,KAYUTANGAN,SB-25,,,,,
KAYUTANGAN_SB-26.jpg,KAYUTANGAN,SB-26,,,,,
KAYUTANGAN_SB-27.jpg,KAYUTANGAN,SB-27,,,,,
KAYUTANGAN_ST-28.jpg,KAYUTANGAN,ST-28,,,,,
KAYUTANGAN_ST-29.jpg,KAYUTANGAN,ST-29,,,,,
KAYUTANGAN_ST-30.jpg,KAYUTANGAN,ST-30,,,,,
KAYUTANGAN_SB-28.jpg,KAYUTANGAN,SB-28,,,,,
KAYUTANGAN_SB-29.jpg,KAYUTANGAN,SB-29,,,,,
KAYUTANGAN_SB-30.jpg,KAYUTANGAN,SB-30,,,,,
KAYUTANGAN_UT-01.jpg,KAYUTANGAN,UT-01,,,,,
KAYUTANGAN_UT-02.jpg,KAYUTANGAN,UT-02,,,,,
KAYUTANGAN_UT-03.jpg,KAYUTANGAN,UT-03,,,,,
KAYUTANGAN_UB-01.jpg,KAYUTANGAN,UB-01,,,,,
KAYUTANGAN_UB-02.jpg,KAYUTANGAN,UB-02,,,,,
KAYUTANGAN_UT-04.jpg,KAYUTANGAN,UT-04,,,,,
KAYUTANGAN_UT-05.jpg,KAYUTANGAN,UT-05,,,,,
KAYUTANGAN_UT-06.jpg,KAYUTANGAN,UT-06,,,,,
KAYUTANGAN_UB-04.jpg,KAYUTANGAN,UB-04,,,,,
KAYUTANGAN_UB-05.jpg,KAYUTANGAN,UB-05,,,,,
KAYUTANGAN_UB-06.jpg,KAYUTANGAN,UB-06,,,,,
KAYUTANGAN_UT-07.jpg,KAYUTANGAN,UT-07,,,,,
KAYUTANGAN_UT-08.jpg,KAYUTANGAN,UT-08,,,,,
KAYUTANGAN_UT-09.jpg,KAYUTANGAN,UT-09,,,,,
KAYUTANGAN_UB-07.jpg,KAYUTANGAN,UB-07,,,,,
KAYUTANGAN_UB-08.jpg,KAYUTANGAN,UB-08,,,,,
